condition,agent,block,net_score
healthy,16,5,0.017000000000000008
healthy,17,1,-0.0049999999999999906
healthy,17,2,0.004000000000000006
healthy,17,3,-0.028000000000000004
healthy,17,4,0.04
healthy,17,5,0.017000000000000008
healthy,18,1,-0.0049999999999999906
healthy,18,2,0.004000000000000006
healthy,18,3,-0.028000000000000004
healthy,18,4,0.04
healthy,18,5,0.017000000000000008
healthy,19,1,-0.0049999999999999906
healthy,19,2,0.004000000000000006
healthy,19,3,-0.028000000000000004
healthy,19,4,0.04
healthy,19,5,0.017000000000000008
healthy,20,1,-0.0049999999999999906
healthy,20,2,0.004000000000000006
healthy,20,3,-0.028000000000000004
healthy,20,4,0.04
healthy,20,5,0.017000000000000008
healthy,21,1,-0.0049999999999999906
healthy,21,2,0.004000000000000006
healthy,21,3,-0.028000000000000004
healthy,21,4,0.04
healthy,21,5,0.017000000000000008
healthy,22,1,-0.0049999999999999906
healthy,22,2,0.004000000000000006
healthy,22,3,-0.028000000000000004
healthy,22,4,0.04
healthy,22,5,0.017000000000000008
healthy,23,1,-0.0049999999999999906
healthy,23,2,0.004000000000000006
healthy,23,3,-0.028000000000000004
healthy,23,4,0.04
healthy,23,5,0.017000000000000008
healthy,24,1,-0.0049999999999999906
healthy,24,2,0.004000000000000006
healthy,24,3,-0.028000000000000004
healthy,24,4,0.04
healthy,24,5,0.017000000000000008
healthy,25,1,-0.0049999999999999906
healthy,25,2,0.004000000000000006
healthy,25,3,-0.028000000000000004
healthy,25,4,0.04
healthy,25,5,0.017000000000000008
healthy,26,1,-0.0049999999999999906
healthy,26,2,0.004000000000000006
healthy,26,3,-0.028000000000000004
healthy,26,4,0.04
healthy,26,5,0.017000000000000008
healthy,27,1,-0.0049999999999999906
healthy,27,2,0.004000000000000006
healthy,27,3,-0.028000000000000004
healthy,27,4,0.04
healthy,27,5,0.017000000000000008
healthy,28,1,-0.0049999999999999906
healthy,28,2,0.004000000000000006
healthy,28,3,-0.028000000000000004
healthy,28,4,0.04
healthy,28,5,0.017000000000000008
healthy,29,1,-0.0049999999999999906
healthy,29,2,0.004000000000000006
healthy,29,3,-0.028000000000000004
healthy,29,4,0.04
healthy,29,5,0.017000000000000008
healthy,30,1,-0.0049999999999999906
healthy,30,2,0.004000000000000006
healthy,30,3,-0.028000000000000004
healthy,30,4,0.04
healthy,30,5,0.017000000000000008
healthy,31,1,-0.0049999999999999906
healthy,31,2,0.004000000000000006
healthy,31,3,-0.028000000000000004
healthy,31,4,0.04
healthy,31,5,0.017000000000000008
healthy,32,1,-0.0049999999999999906
healthy,32,2,0.004000000000000006
healthy,32,3,-0.028000000000000004
healthy,32,4,0.04
healthy,32,5,0.017000000000000008
healthy,33,1,-0.0049999999999999906
healthy,33,2,0.004000000000000006
healthy,33,3,-0.028000000000000004
healthy,33,4,0.04
healthy,33,5,0.017000000000000008
healthy,34,1,-0.0049999999999999906
healthy,34,2,0.004000000000000006
healthy,34,3,-0.028000000000000004
healthy,34,4,0.04
healthy,34,5,0.017000000000000008
healthy,35,1,-0.0049999999999999906
healthy,35,2,0.004000000000000006
healthy,35,3,-0.028000000000000004
healthy,35,4,0.04
healthy,35,5,0.017000000000000008
healthy,36,1,-0.0049999999999999906
healthy,36,2,0.004000000000000006
healthy,36,3,-0.028000000000000004
healthy,36,4,0.04
healthy,36,5,0.017000000000000008
healthy,37,1,-0.0049999999999999906
healthy,37,2,0.004000000000000006
healthy,37,3,-0.028000000000000004
healthy,37,4,0.04
healthy,37,5,0.017000000000000008
healthy,38,1,-0.0049999999999999906
healthy,38,2,0.004000000000000006
healthy,38,3,-0.028000000000000004
healthy,38,4,0.04
healthy,38,5,0.017000000000000008
healthy,39,1,-0.0049999999999999906
healthy,39,2,0.004000000000000006
healthy,39,3,-0.028000000000000004
healthy,39,4,0.04
healthy,39,5,0.017000000000000008
healthy,40,1,-0.0049999999999999906
healthy,40,2,0.004000000000000006
healthy,40,3,-0.028000000000000004
healthy,40,4,0.04
healthy,40,5,0.017000000000000008
healthy,41,1,-0.0049999999999999906
healthy,41,2,0.004000000000000006
healthy,41,3,-0.028000000000000004
healthy,41,4,0.04
healthy,41,5,0.017000000000000008
healthy,42,1,-0.0049999999999999906
healthy,42,2,0.004000000000000006
healthy,42,3,-0.028000000000000004
healthy,42,4,0.04
healthy,42,5,0.017000000000000008
healthy,43,1,-0.0049999999999999906
healthy,43,2,0.004000000000000006
healthy,43,3,-0.028000000000000004
healthy,43,4,0.04
healthy,43,5,0.017000000000000008
healthy,44,1,-0.0049999999999999906
healthy,44,2,0.004000000000000006
healthy,44,3,-0.028000000000000004
healthy,44,4,0.04
healthy,44,5,0.017000000000000008
healthy,45,1,-0.0049999999999999906
healthy,45,2,0.004000000000000006
healthy,45,3,-0.028000000000000004
healthy,45,4,0.04
healthy,45,5,0.017000000000000008
healthy,46,1,-0.0049999999999999906
healthy,46,2,0.004000000000000006
healthy,46,3,-0.028000000000000004
healthy,46,4,0.04
healthy,46,5,0.017000000000000008
healthy,47,1,-0.0049999999999999906
healthy,47,2,0.004000000000000006
healthy,47,3,-0.028000000000000004
healthy,47,4,0.04
healthy,47,5,0.017000000000000008
healthy,48,1,-0.0049999999999999906
healthy,48,2,0.004000000000000006
healthy,48,3,-0.028000000000000004
healthy,48,4,0.04
healthy,48,5,0.017000000000000008
healthy,49,1,-0.0049999999999999906
healthy,49,2,0.004000000000000006
healthy,49,3,-0.028000000000000004
healthy,49,4,0.04
healthy,49,5,0.017000000000000008
healthy,50,1,-0.0049999999999999906
healthy,50,2,0.004000000000000006
healthy,50,3,-0.028000000000000004
healthy,50,4,0.04
healthy,50,5,0.017000000000000008
depleted,1,1,-0.0049999999999999906
depleted,1,2,0.004000000000000006
depleted,1,3,-0.028000000000000004
depleted,1,4,0.04
depleted,1,5,0.017000000000000008
depleted,2,1,-0.0049999999999999906
depleted,2,2,0.004000000000000006
depleted,2,3,-0.028000000000000004
depleted,2,4,0.04
depleted,2,5,0.017000000000000008
depleted,3,1,-0.0049999999999999906
depleted,3,2,0.004000000000000006
depleted,3,3,-0.028000000000000004
depleted,3,4,0.04
depleted,3,5,0.017000000000000008
depleted,4,1,-0.0049999999999999906
depleted,4,2,0.004000000000000006
depleted,4,3,-0.028000000000000004
depleted,4,4,0.04
depleted,4,5,0.017000000000000008
depleted,5,1,-0.0049999999999999906
depleted,5,2,0.004000000000000006
depleted,5,3,-0.028000000000000004
depleted,5,4,0.04
depleted,5,5,0.017000000000000008
depleted,6,1,-0.0049999999999999906
depleted,6,2,0.004000000000000006
depleted,6,3,-0.028000000000000004
depleted,6,4,0.04
depleted,6,5,0.017000000000000008
depleted,7,1,-0.0049999999999999906
depleted,7,2,0.004000000000000006
depleted,7,3,-0.028000000000000004
depleted,7,4,0.04
depleted,7,5,0.017000000000000008
depleted,8,1,-0.0049999999999999906
depleted,8,2,0.004000000000000006
depleted,8,3,-0.028000000000000004
depleted,8,4,0.04
depleted,8,5,0.017000000000000008
depleted,9,1,-0.0049999999999999906
depleted,9,2,0.004000000000000006
depleted,9,3,-0.028000000000000004
depleted,9,4,0.04
depleted,9,5,0.017000000000000008
depleted,10,1,-0.0049999999999999906
depleted,10,2,0.004000000000000006
depleted,10,3,-0.028000000000000004
depleted,10,4,0.04
depleted,10,5,0.017000000000000008
depleted,11,1,-0.0049999999999999906
depleted,11,2,0.004000000000000006
depleted,11,3,-0.028000000000000004
depleted,11,4,0.04
depleted,11,5,0.017000000000000008
depleted,12,1,-0.0049999999999999906
depleted,12,2,0.004000000000000006
depleted,12,3,-0.028000000000000004
depleted,12,4,0.04
depleted,12,5,0.017000000000000008
depleted,13,1,-0.0049999999999999906
depleted,13,2,0.004000000000000006
depleted,13,3,-0.028000000000000004
depleted,13,4,0.04
depleted,13,5,0.017000000000000008
depleted,14,1,-0.0049999999999999906
depleted,14,2,0.004000000000000006
depleted,14,3,-0.028000000000000004
depleted,14,4,0.04
depleted,14,5,0.017000000000000008
depleted,15,1,-0.0049999999999999906
depleted,15,2,0.004000000000000006
depleted,15,3,-0.028000000000000004
depleted,15,4,0.04
depleted,15,5,0.017000000000000008
depleted,16,1,-0.0049999999999999906
depleted,16,2,0.004000000000000006
depleted,16,3,-0.028000000000000004
depleted,16,4,0.04
depleted,16,5,0.017000000000000008
depleted,17,1,-0.0049999999999999906
depleted,17,2,0.004000000000000006
depleted,17,3,-0.028000000000000004
depleted,17,4,0.04
depleted,17,5,0.017000000000000008
depleted,18,1,-0.0049999999999999906
depleted,18,2,0.004000000000000006
depleted,18,3,-0.028000000000000004
depleted,18,4,0.04
depleted,18,5,0.017000000000000008
depleted,19,1,-0.0049999999999999906
depleted,19,2,0.004000000000000006
depleted,19,3,-0.028000000000000004
depleted,19,4,0.04
depleted,19,5,0.017000000000000008
depleted,20,1,-0.0049999999999999906
depleted,20,2,0.004000000000000006
depleted,20,3,-0.028000000000000004
depleted,20,4,0.04
depleted,20,5,0.017000000000000008
depleted,21,1,-0.0049999999999999906
depleted,21,2,0.004000000000000006
depleted,21,3,-0.028000000000000004
depleted,21,4,0.04
depleted,21,5,0.017000000000000008
depleted,22,1,-0.0049999999999999906
depleted,22,2,0.004000000000000006
depleted,22,3,-0.028000000000000004
depleted,22,4,0.04
depleted,22,5,0.017000000000000008
depleted,23,1,-0.0049999999999999906
depleted,23,2,0.004000000000000006
depleted,23,3,-0.028000000000000004
depleted,23,4,0.04
depleted,23,5,0.017000000000000008
depleted,24,1,-0.0049999999999999906
depleted,24,2,0.004000000000000006
depleted,24,3,-0.028000000000000004
depleted,24,4,0.04
depleted,24,5,0.017000000000000008
depleted,25,1,-0.0049999999999999906
depleted,25,2,0.004000000000000006
depleted,25,3,-0.028000000000000004
depleted,25,4,0.04
depleted,25,5,0.017000000000000008
depleted,26,1,-0.0049999999999999906
depleted,26,2,0.004000000000000006
depleted,26,3,-0.028000000000000004
depleted,26,4,0.04
depleted,26,5,0.017000000000000008
depleted,27,1,-0.0049999999999999906
depleted,27,2,0.004000000000000006
depleted,27,3,-0.028000000000000004
depleted,27,4,0.04
depleted,27,5,0.017000000000000008
depleted,28,1,-0.0049999999999999906
depleted,28,2,0.004000000000000006
depleted,28,3,-0.028000000000000004
depleted,28,4,0.04
depleted,28,5,0.017000000000000008
depleted,29,1,-0.0049999999999999906
depleted,29,2,0.004000000000000006
depleted,29,3,-0.028000000000000004
depleted,29,4,0.04
depleted,29,5,0.017000000000000008
depleted,30,1,-0.0049999999999999906
depleted,30,2,0.004000000000000006
depleted,30,3,-0.028000000000000004
depleted,30,4,0.04
depleted,30,5,0.017000000000000008
depleted,31,1,-0.0049999999999999906
depleted,31,2,0.004000000000000006
depleted,31,3,-0.028000000000000004
depleted,31,4,0.04
depleted,31,5,0.017000000000000008
depleted,32,1,-0.0049999999999999906
depleted,32,2,0.004000000000000006
depleted,32,3,-0.028000000000000004
depleted,32,4,0.04
depleted,32,5,0.017000000000000008
depleted,33,1,-0.0049999999999999906
depleted,33,2,0.004000000000000006
depleted,33,3,-0.028000000000000004
depleted,33,4,0.04
depleted,33,5,0.017000000000000008
depleted,34,1,-0.0049999999999999906
depleted,34,2,0.004000000000000006
depleted,34,3,-0.028000000000000004
depleted,34,4,0.04
depleted,34,5,0.017000000000000008
depleted,35,1,-0.0049999999999999906
depleted,35,2,0.004000000000000006
depleted,35,3,-0.028000000000000004
depleted,35,4,0.04
depleted,35,5,0.017000000000000008
depleted,36,1,-0.0049999999999999906
depleted,36,2,0.004000000000000006
depleted,36,3,-0.028000000000000004
depleted,36,4,0.04
depleted,36,5,0.017000000000000008
depleted,37,1,-0.0049999999999999906
depleted,37,2,0.004000000000000006
depleted,37,3,-0.028000000000000004
depleted,37,4,0.04
depleted,37,5,0.017000000000000008
depleted,38,1,-0.0049999999999999906
depleted,38,2,0.004000000000000006
depleted,38,3,-0.028000000000000004
depleted,38,4,0.04
depleted,38,5,0.017000000000000008
depleted,39,1,-0.0049999999999999906
depleted,39,2,0.004000000000000006
depleted,39,3,-0.028000000000000004
depleted,39,4,0.04
depleted,39,5,0.017000000000000008
depleted,40,1,-0.0049999999999999906
depleted,40,2,0.004000000000000006
depleted,40,3,-0.028000000000000004
depleted,40,4,0.04
depleted,40,5,0.017000000000000008
depleted,41,1,-0.0049999999999999906
depleted,41,2,0.004000000000000006
depleted,41,3,-0.028000000000000004
depleted,41,4,0.04
depleted,41,5,0.017000000000000008
depleted,42,1,-0.0049999999999999906
depleted,42,2,0.004000000000000006
depleted,42,3,-0.028000000000000004
depleted,42,4,0.04
depleted,42,5,0.017000000000000008
depleted,43,1,-0.0049999999999999906
depleted,43,2,0.004000000000000006
depleted,43,3,-0.028000000000000004
depleted,43,4,0.04
depleted,43,5,0.017000000000000008
depleted,44,1,-0.0049999999999999906
depleted,44,2,0.004000000000000006
depleted,44,3,-0.028000000000000004
depleted,44,4,0.04
depleted,44,5,0.017000000000000008
depleted,45,1,-0.0049999999999999906
depleted,45,2,0.004000000000000006
depleted,45,3,-0.028000000000000004
depleted,45,4,0.04
depleted,45,5,0.017000000000000008
depleted,46,1,-0.0049999999999999906
depleted,46,2,0.004000000000000006
depleted,46,3,-0.028000000000000004
depleted,46,4,0.04
depleted,46,5,0.017000000000000008
depleted,47,1,-0.0049999999999999906
depleted,47,2,0.004000000000000006
depleted,47,3,-0.028000000000000004
depleted,47,4,0.04
depleted,47,5,0.017000000000000008
depleted,48,1,-0.0049999999999999906
depleted,48,2,0.004000000000000006
depleted,48,3,-0.028000000000000004
depleted,48,4,0.04
depleted,48,5,0.017000000000000008
depleted,49,1,-0.0049999999999999906
depleted,49,2,0.004000000000000006
depleted,49,3,-0.028000000000000004
depleted,49,4,0.04
depleted,49,5,0.017000000000000008
depleted,50,1,-0.0049999999999999906
depleted,50,2,0.004000000000000006
depleted,50,3,-0.028000000000000004
depleted,50,4,0.04
depleted,50,5,0.017000000000000008
overactive,1,1,-0.0049999999999999906
overactive,1,2,0.004000000000000006
overactive,1,3,-0.028000000000000004
overactive,1,4,0.04
overactive,1,5,0.017000000000000008
overactive,2,1,-0.0049999999999999906
overactive,2,2,0.004000000000000006
overactive,2,3,-0.028000000000000004
overactive,2,4,0.04
overactive,2,5,0.017000000000000008
overactive,3,1,-0.0049999999999999906
overactive,3,2,0.004000000000000006
overactive,3,3,-0.028000000000000004
overactive,3,4,0.04
overactive,3,5,0.017000000000000008
overactive,4,1,-0.0049999999999999906
overactive,4,2,0.004000000000000006
overactive,4,3,-0.028000000000000004
overactive,4,4,0.04
overactive,4,5,0.017000000000000008
overactive,5,1,-0.0049999999999999906
overactive,5,2,0.004000000000000006
overactive,5,3,-0.028000000000000004
overactive,5,4,0.04
overactive,5,5,0.017000000000000008
overactive,6,1,-0.0049999999999999906
overactive,6,2,0.004000000000000006
overactive,6,3,-0.028000000000000004
overactive,6,4,0.04
overactive,6,5,0.017000000000000008
overactive,7,1,-0.0049999999999999906
overactive,7,2,0.004000000000000006
overactive,7,3,-0.028000000000000004
overactive,7,4,0.04
overactive,7,5,0.017000000000000008
overactive,8,1,-0.0049999999999999906
overactive,8,2,0.004000000000000006
overactive,8,3,-0.028000000000000004
overactive,8,4,0.04
overactive,8,5,0.017000000000000008
overactive,9,1,-0.0049999999999999906
overactive,9,2,0.004000000000000006
overactive,9,3,-0.028000000000000004
overactive,9,4,0.04
overactive,9,5,0.017000000000000008
overactive,10,1,-0.0049999999999999906
overactive,10,2,0.004000000000000006
overactive,10,3,-0.028000000000000004
overactive,10,4,0.04
overactive,10,5,0.017000000000000008
overactive,11,1,-0.0049999999999999906
overactive,11,2,0.004000000000000006
overactive,11,3,-0.028000000000000004
overactive,11,4,0.04
overactive,11,5,0.017000000000000008
overactive,12,1,-0.0049999999999999906
overactive,12,2,0.004000000000000006
overactive,12,3,-0.028000000000000004
overactive,12,4,0.04
overactive,12,5,0.017000000000000008
overactive,13,1,-0.0049999999999999906
overactive,13,2,0.004000000000000006
overactive,13,3,-0.028000000000000004
overactive,13,4,0.04
overactive,13,5,0.017000000000000008
overactive,14,1,-0.0049999999999999906
overactive,14,2,0.004000000000000006
overactive,14,3,-0.028000000000000004
overactive,14,4,0.04
overactive,14,5,0.017000000000000008
overactive,15,1,-0.0049999999999999906
overactive,15,2,0.004000000000000006
overactive,15,3,-0.028000000000000004
overactive,15,4,0.04
overactive,15,5,0.017000000000000008
overactive,16,1,-0.0049999999999999906
overactive,16,2,0.004000000000000006
overactive,16,3,-0.028000000000000004
overactive,16,4,0.04
overactive,16,5,0.017000000000000008
overactive,17,1,-0.0049999999999999906
overactive,17,2,0.004000000000000006
overactive,17,3,-0.028000000000000004
overactive,17,4,0.04
overactive,17,5,0.017000000000000008
overactive,18,1,-0.0049999999999999906
overactive,18,2,0.004000000000000006
overactive,18,3,-0.028000000000000004
overactive,18,4,0.04
overactive,18,5,0.017000000000000008
overactive,19,1,-0.0049999999999999906
overactive,19,2,0.004000000000000006
overactive,19,3,-0.028000000000000004
overactive,19,4,0.04
overactive,19,5,0.017000000000000008
overactive,20,1,-0.0049999999999999906
overactive,20,2,0.004000000000000006
overactive,20,3,-0.028000000000000004
overactive,20,4,0.04
overactive,20,5,0.017000000000000008
overactive,21,1,-0.0049999999999999906
overactive,21,2,0.004000000000000006
overactive,21,3,-0.028000000000000004
overactive,21,4,0.04
overactive,21,5,0.017000000000000008
overactive,22,1,-0.0049999999999999906
overactive,22,2,0.004000000000000006
overactive,22,3,-0.028000000000000004
overactive,22,4,0.04
overactive,22,5,0.017000000000000008
overactive,23,1,-0.0049999999999999906
overactive,23,2,0.004000000000000006
overactive,23,3,-0.028000000000000004
overactive,23,4,0.04
overactive,23,5,0.017000000000000008
overactive,24,1,-0.0049999999999999906
overactive,24,2,0.004000000000000006
overactive,24,3,-0.028000000000000004
overactive,24,4,0.04
overactive,24,5,0.017000000000000008
overactive,25,1,-0.0049999999999999906
overactive,25,2,0.004000000000000006
overactive,25,3,-0.028000000000000004
overactive,25,4,0.04
overactive,25,5,0.017000000000000008
overactive,26,1,-0.0049999999999999906
overactive,26,2,0.004000000000000006
overactive,26,3,-0.028000000000000004
overactive,26,4,0.04
overactive,26,5,0.017000000000000008
overactive,27,1,-0.0049999999999999906
overactive,27,2,0.004000000000000006
overactive,27,3,-0.028000000000000004
overactive,27,4,0.04
overactive,27,5,0.017000000000000008
overactive,28,1,-0.0049999999999999906
overactive,28,2,0.004000000000000006
overactive,28,3,-0.028000000000000004
overactive,28,4,0.04
overactive,28,5,0.017000000000000008
overactive,29,1,-0.0049999999999999906
overactive,29,2,0.004000000000000006
overactive,29,3,-0.028000000000000004
overactive,29,4,0.04
overactive,29,5,0.017000000000000008
overactive,30,1,-0.0049999999999999906
overactive,30,2,0.004000000000000006
overactive,30,3,-0.028000000000000004
overactive,30,4,0.04
overactive,30,5,0.017000000000000008
overactive,31,1,-0.0049999999999999906
overactive,31,2,0.004000000000000006
overactive,31,3,-0.028000000000000004
overactive,31,4,0.04
overactive,31,5,0.017000000000000008
overactive,32,1,-0.0049999999999999906
overactive,32,2,0.004000000000000006
overactive,32,3,-0.028000000000000004
overactive,32,4,0.04
overactive,32,5,0.017000000000000008
overactive,33,1,-0.0049999999999999906
overactive,33,2,0.004000000000000006
overactive,33,3,-0.028000000000000004
overactive,33,4,0.04
overactive,33,5,0.017000000000000008
overactive,34,1,-0.0049999999999999906
overactive,34,2,0.004000000000000006
overactive,34,3,-0.028000000000000004
overactive,34,4,0.04
overactive,34,5,0.017000000000000008
overactive,35,1,-0.0049999999999999906
overactive,35,2,0.004000000000000006
overactive,35,3,-0.028000000000000004
overactive,35,4,0.04
overactive,35,5,0.017000000000000008
overactive,36,1,-0.0049999999999999906
overactive,36,2,0.004000000000000006
overactive,36,3,-0.028000000000000004
overactive,36,4,0.04
overactive,36,5,0.017000000000000008
overactive,37,1,-0.0049999999999999906
overactive,37,2,0.004000000000000006
overactive,37,3,-0.028000000000000004
overactive,37,4,0.04
overactive,37,5,0.017000000000000008
overactive,38,1,-0.0049999999999999906
overactive,38,2,0.004000000000000006
overactive,38,3,-0.028000000000000004
overactive,38,4,0.04
overactive,38,5,0.017000000000000008
overactive,39,1,-0.0049999999999999906
overactive,39,2,0.004000000000000006
overactive,39,3,-0.028000000000000004
overactive,39,4,0.04
overactive,39,5,0.017000000000000008
overactive,40,1,-0.0049999999999999906
overactive,40,2,0.004000000000000006
overactive,40,3,-0.028000000000000004
overactive,40,4,0.04
overactive,40,5,0.017000000000000008
overactive,41,1,-0.0049999999999999906
overactive,41,2,0.004000000000000006
overactive,41,3,-0.028000000000000004
overactive,41,4,0.04
overactive,41,5,0.017000000000000008
overactive,42,1,-0.0049999999999999906
overactive,42,2,0.004000000000000006
overactive,42,3,-0.028000000000000004
overactive,42,4,0.04
overactive,42,5,0.017000000000000008
overactive,43,1,-0.0049999999999999906
overactive,43,2,0.004000000000000006
overactive,43,3,-0.028000000000000004
overactive,43,4,0.04
overactive,43,5,0.017000000000000008
overactive,44,1,-0.0049999999999999906
overactive,44,2,0.004000000000000006
overactive,44,3,-0.028000000000000004
overactive,44,4,0.04
overactive,44,5,0.017000000000000008
overactive,45,1,-0.0049999999999999906
overactive,45,2,0.004000000000000006
overactive,45,3,-0.028000000000000004
overactive,45,4,0.04
overactive,45,5,0.017000000000000008
overactive,46,1,-0.0049999999999999906
overactive,46,2,0.004000000000000006
overactive,46,3,-0.028000000000000004
overactive,46,4,0.04
overactive,46,5,0.017000000000000008
overactive,47,1,-0.0049999999999999906
overactive,47,2,0.004000000000000006
overactive,47,3,-0.028000000000000004
overactive,47,4,0.04
overactive,47,5,0.017000000000000008
overactive,48,1,-0.0049999999999999906
overactive,48,2,0.004000000000000006
overactive,48,3,-0.028000000000000004
overactive,48,4,0.04
overactive,48,5,0.017000000000000008
overactive,49,1,-0.0049999999999999906
overactive,49,2,0.004000000000000006
overactive,49,3,-0.028000000000000004
overactive,49,4,0.04
overactive,49,5,0.017000000000000008
overactive,50,1,-0.0049999999999999906
overactive,50,2,0.004000000000000006
overactive,50,3,-0.028000000000000004
overactive,50,4,0.04
overactive,50,5,0.017000000000000008
